id,title,text,label
1,NASA successfully lands rover on Mars,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
2,Scientists say Earth is flat again,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
3,Researchers develop promising cancer vaccine,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
4,"Drinking saltwater cures all diseases, experts say",A conspiracy site says vaccinated individuals are developing telekinesis.,0
5,NASA successfully lands rover on Mars,Field tests in Africa have shown significant reduction in malaria cases among children.,1
6,Moon made of cheese confirmed by leaked NASA report,A former government agent claims extraterrestrials are controlling the weather.,0
7,Government launches new healthcare initiative,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
8,Government to ban sleep by 2030 to boost productivity,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
9,World leaders gather for peace summit,Field tests in Africa have shown significant reduction in malaria cases among children.,1
10,"Aliens found living under Antarctica, whistleblower claims",A conspiracy site says vaccinated individuals are developing telekinesis.,0
11,Researchers develop promising cancer vaccine,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
12,Moon made of cheese confirmed by leaked NASA report,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
13,Major breakthrough in battery technology,Field tests in Africa have shown significant reduction in malaria cases among children.,1
14,Scientists say Earth is flat again,A former government agent claims extraterrestrials are controlling the weather.,0
15,UN adopts climate change resolution,Scientists believe this discovery could reshape our understanding of biodiversity.,1
16,"Invisible car invented, but hidden by oil companies",A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
17,UN adopts climate change resolution,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
18,"Invisible car invented, but hidden by oil companies","A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
19,NASA successfully lands rover on Mars,Scientists believe this discovery could reshape our understanding of biodiversity.,1
20,"Drinking saltwater cures all diseases, experts say",An anonymous inventor says his invisible car was buried after threats from oil companies.,0
21,Education ministry rolls out digital classrooms,Field tests in Africa have shown significant reduction in malaria cases among children.,1
22,Scientists say Earth is flat again,A former government agent claims extraterrestrials are controlling the weather.,0
23,Major breakthrough in battery technology,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
24,"Drinking saltwater cures all diseases, experts say",Images allegedly leaked from NASA show cheese formations on the moon.,0
25,NASA successfully lands rover on Mars,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
26,Scientists say Earth is flat again,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
27,Education ministry rolls out digital classrooms,Field tests in Africa have shown significant reduction in malaria cases among children.,1
28,Government to ban sleep by 2030 to boost productivity,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
29,Government launches new healthcare initiative,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
30,Scientists say Earth is flat again,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
31,Researchers develop promising cancer vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
32,Moon made of cheese confirmed by leaked NASA report,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
33,Major breakthrough in battery technology,The initiative will benefit over 10 million students by 2026.,1
34,Secret tunnel to Atlantis discovered in the Sahara,An anonymous inventor says his invisible car was buried after threats from oil companies.,0
35,Education ministry rolls out digital classrooms,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
36,Scientists say Earth is flat again,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
37,WHO approves new malaria vaccine,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
38,COVID vaccine gives people superpowers,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
39,UN adopts climate change resolution,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
40,Moon made of cheese confirmed by leaked NASA report,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
41,World leaders gather for peace summit,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
42,"Invisible car invented, but hidden by oil companies",A former government agent claims extraterrestrials are controlling the weather.,0
43,Researchers develop promising cancer vaccine,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
44,"Invisible car invented, but hidden by oil companies",Images allegedly leaked from NASA show cheese formations on the moon.,0
45,"Economy shows signs of recovery, says central bank",The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
46,Government to ban sleep by 2030 to boost productivity,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
47,Education ministry rolls out digital classrooms,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
48,Time travel possible with household blender,Images allegedly leaked from NASA show cheese formations on the moon.,0
49,Major breakthrough in battery technology,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
50,Scientists say Earth is flat again,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
51,Researchers develop promising cancer vaccine,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
52,COVID vaccine gives people superpowers,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
53,WHO approves new malaria vaccine,Scientists believe this discovery could reshape our understanding of biodiversity.,1
54,Shocking proof that dinosaurs still live in the Himalayas,Images allegedly leaked from NASA show cheese formations on the moon.,0
55,Education ministry rolls out digital classrooms,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
56,Secret tunnel to Atlantis discovered in the Sahara,A conspiracy site says vaccinated individuals are developing telekinesis.,0
57,Major breakthrough in battery technology,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
58,"Aliens found living under Antarctica, whistleblower claims","A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
59,UN adopts climate change resolution,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
60,Moon made of cheese confirmed by leaked NASA report,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
61,NASA successfully lands rover on Mars,Scientists believe this discovery could reshape our understanding of biodiversity.,1
62,Moon made of cheese confirmed by leaked NASA report,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
63,Major breakthrough in battery technology,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
64,Scientists say Earth is flat again,A conspiracy site says vaccinated individuals are developing telekinesis.,0
65,Government launches new healthcare initiative,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
66,COVID vaccine gives people superpowers,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
67,Education ministry rolls out digital classrooms,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
68,Scientists say Earth is flat again,Images allegedly leaked from NASA show cheese formations on the moon.,0
69,UN adopts climate change resolution,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
70,"Aliens found living under Antarctica, whistleblower claims",A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
71,World leaders gather for peace summit,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
72,COVID vaccine gives people superpowers,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
73,"Economy shows signs of recovery, says central bank",Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
74,Shocking proof that dinosaurs still live in the Himalayas,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
75,UN adopts climate change resolution,The initiative will benefit over 10 million students by 2026.,1
76,Secret tunnel to Atlantis discovered in the Sahara,A conspiracy site says vaccinated individuals are developing telekinesis.,0
77,World leaders gather for peace summit,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
78,Shocking proof that dinosaurs still live in the Himalayas,An anonymous inventor says his invisible car was buried after threats from oil companies.,0
79,Major breakthrough in battery technology,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
80,"Drinking saltwater cures all diseases, experts say",An anonymous inventor says his invisible car was buried after threats from oil companies.,0
81,"Economy shows signs of recovery, says central bank",Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
82,"Aliens found living under Antarctica, whistleblower claims",Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
83,WHO approves new malaria vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
84,"Drinking saltwater cures all diseases, experts say",A man in Ohio claims to have bent time using a blender and a car battery.,0
85,NASA successfully lands rover on Mars,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
86,Secret tunnel to Atlantis discovered in the Sahara,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
87,Major breakthrough in battery technology,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
88,Secret tunnel to Atlantis discovered in the Sahara,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
89,World leaders gather for peace summit,Field tests in Africa have shown significant reduction in malaria cases among children.,1
90,Moon made of cheese confirmed by leaked NASA report,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
91,World leaders gather for peace summit,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
92,Scientists say Earth is flat again,Images allegedly leaked from NASA show cheese formations on the moon.,0
93,Education ministry rolls out digital classrooms,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
94,COVID vaccine gives people superpowers,A man in Ohio claims to have bent time using a blender and a car battery.,0
95,NASA successfully lands rover on Mars,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
96,Government to ban sleep by 2030 to boost productivity,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
97,Education ministry rolls out digital classrooms,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
98,Shocking proof that dinosaurs still live in the Himalayas,A conspiracy site says vaccinated individuals are developing telekinesis.,0
99,Researchers develop promising cancer vaccine,Field tests in Africa have shown significant reduction in malaria cases among children.,1
100,Government to ban sleep by 2030 to boost productivity,A former government agent claims extraterrestrials are controlling the weather.,0
101,NASA successfully lands rover on Mars,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
102,Government to ban sleep by 2030 to boost productivity,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
103,Government launches new healthcare initiative,The initiative will benefit over 10 million students by 2026.,1
104,"Drinking saltwater cures all diseases, experts say",A conspiracy site says vaccinated individuals are developing telekinesis.,0
105,Researchers develop promising cancer vaccine,The latest report indicates improved GDP growth and lower unemployment rates.,1
106,Time travel possible with household blender,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
107,World leaders gather for peace summit,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
108,Shocking proof that dinosaurs still live in the Himalayas,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
109,Major breakthrough in battery technology,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
110,Time travel possible with household blender,Images allegedly leaked from NASA show cheese formations on the moon.,0
111,Researchers develop promising cancer vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
112,"Drinking saltwater cures all diseases, experts say",Images allegedly leaked from NASA show cheese formations on the moon.,0
113,Education ministry rolls out digital classrooms,Scientists believe this discovery could reshape our understanding of biodiversity.,1
114,Moon made of cheese confirmed by leaked NASA report,A man in Ohio claims to have bent time using a blender and a car battery.,0
115,Government launches new healthcare initiative,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
116,"Aliens found living under Antarctica, whistleblower claims",Images allegedly leaked from NASA show cheese formations on the moon.,0
117,Education ministry rolls out digital classrooms,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
118,Government to ban sleep by 2030 to boost productivity,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
119,Researchers develop promising cancer vaccine,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
120,Time travel possible with household blender,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
121,New species discovered in Amazon rainforest,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
122,Scientists say Earth is flat again,A man in Ohio claims to have bent time using a blender and a car battery.,0
123,Researchers develop promising cancer vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
124,Time travel possible with household blender,A conspiracy site says vaccinated individuals are developing telekinesis.,0
125,NASA successfully lands rover on Mars,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
126,COVID vaccine gives people superpowers,A former government agent claims extraterrestrials are controlling the weather.,0
127,NASA successfully lands rover on Mars,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
128,Secret tunnel to Atlantis discovered in the Sahara,Images allegedly leaked from NASA show cheese formations on the moon.,0
129,Major breakthrough in battery technology,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
130,Government to ban sleep by 2030 to boost productivity,Images allegedly leaked from NASA show cheese formations on the moon.,0
131,Government launches new healthcare initiative,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
132,Moon made of cheese confirmed by leaked NASA report,A former government agent claims extraterrestrials are controlling the weather.,0
133,New species discovered in Amazon rainforest,The latest report indicates improved GDP growth and lower unemployment rates.,1
134,Time travel possible with household blender,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
135,New species discovered in Amazon rainforest,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
136,Time travel possible with household blender,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
137,Researchers develop promising cancer vaccine,The latest report indicates improved GDP growth and lower unemployment rates.,1
138,Government to ban sleep by 2030 to boost productivity,A former government agent claims extraterrestrials are controlling the weather.,0
139,WHO approves new malaria vaccine,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
140,"Aliens found living under Antarctica, whistleblower claims",An anonymous inventor says his invisible car was buried after threats from oil companies.,0
141,Government launches new healthcare initiative,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
142,Shocking proof that dinosaurs still live in the Himalayas,A man in Ohio claims to have bent time using a blender and a car battery.,0
143,World leaders gather for peace summit,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
144,Secret tunnel to Atlantis discovered in the Sahara,A former government agent claims extraterrestrials are controlling the weather.,0
145,World leaders gather for peace summit,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
146,Secret tunnel to Atlantis discovered in the Sahara,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
147,WHO approves new malaria vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
148,Government to ban sleep by 2030 to boost productivity,Images allegedly leaked from NASA show cheese formations on the moon.,0
149,NASA successfully lands rover on Mars,Field tests in Africa have shown significant reduction in malaria cases among children.,1
150,Government to ban sleep by 2030 to boost productivity,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
151,WHO approves new malaria vaccine,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
152,Shocking proof that dinosaurs still live in the Himalayas,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
153,New species discovered in Amazon rainforest,Field tests in Africa have shown significant reduction in malaria cases among children.,1
154,Shocking proof that dinosaurs still live in the Himalayas,A conspiracy site says vaccinated individuals are developing telekinesis.,0
155,Education ministry rolls out digital classrooms,The latest report indicates improved GDP growth and lower unemployment rates.,1
156,Government to ban sleep by 2030 to boost productivity,An anonymous inventor says his invisible car was buried after threats from oil companies.,0
157,Researchers develop promising cancer vaccine,The latest report indicates improved GDP growth and lower unemployment rates.,1
158,Moon made of cheese confirmed by leaked NASA report,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
159,"Economy shows signs of recovery, says central bank",The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
160,"Invisible car invented, but hidden by oil companies","A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
161,Government launches new healthcare initiative,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
162,Shocking proof that dinosaurs still live in the Himalayas,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
163,NASA successfully lands rover on Mars,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
164,COVID vaccine gives people superpowers,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
165,World leaders gather for peace summit,The latest report indicates improved GDP growth and lower unemployment rates.,1
166,Secret tunnel to Atlantis discovered in the Sahara,An anonymous inventor says his invisible car was buried after threats from oil companies.,0
167,NASA successfully lands rover on Mars,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
168,"Invisible car invented, but hidden by oil companies",A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
169,UN adopts climate change resolution,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
170,COVID vaccine gives people superpowers,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
171,WHO approves new malaria vaccine,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
172,"Aliens found living under Antarctica, whistleblower claims",A conspiracy site says vaccinated individuals are developing telekinesis.,0
173,"Economy shows signs of recovery, says central bank",The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
174,Secret tunnel to Atlantis discovered in the Sahara,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
175,NASA successfully lands rover on Mars,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
176,COVID vaccine gives people superpowers,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
177,"Economy shows signs of recovery, says central bank",The latest report indicates improved GDP growth and lower unemployment rates.,1
178,Shocking proof that dinosaurs still live in the Himalayas,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
179,Education ministry rolls out digital classrooms,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
180,Scientists say Earth is flat again,A conspiracy site says vaccinated individuals are developing telekinesis.,0
181,Major breakthrough in battery technology,The latest report indicates improved GDP growth and lower unemployment rates.,1
182,"Aliens found living under Antarctica, whistleblower claims","A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
183,New species discovered in Amazon rainforest,The latest report indicates improved GDP growth and lower unemployment rates.,1
184,"Aliens found living under Antarctica, whistleblower claims",A former government agent claims extraterrestrials are controlling the weather.,0
185,Education ministry rolls out digital classrooms,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
186,Scientists say Earth is flat again,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
187,Major breakthrough in battery technology,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
188,Moon made of cheese confirmed by leaked NASA report,A conspiracy site says vaccinated individuals are developing telekinesis.,0
189,Government launches new healthcare initiative,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
190,"Drinking saltwater cures all diseases, experts say",Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
191,World leaders gather for peace summit,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
192,"Invisible car invented, but hidden by oil companies",Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
193,World leaders gather for peace summit,This marks a unified global step toward reducing emissions and protecting biodiversity.,1
194,Moon made of cheese confirmed by leaked NASA report,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
195,Government launches new healthcare initiative,The latest report indicates improved GDP growth and lower unemployment rates.,1
196,"Invisible car invented, but hidden by oil companies",A former government agent claims extraterrestrials are controlling the weather.,0
197,Education ministry rolls out digital classrooms,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
198,Government to ban sleep by 2030 to boost productivity,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
199,Education ministry rolls out digital classrooms,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
200,Moon made of cheese confirmed by leaked NASA report,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
201,UN adopts climate change resolution,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
202,Secret tunnel to Atlantis discovered in the Sahara,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
